OBJECTID,Province/Territory,Project name,Total project capacity (MW),Turbine identifier,Turbine number in project,Turbine rated capacity (kW),Rotor diameter (m),Hub height (m),Manufacturer,Model,Commissioning date,Latitude,Longitude,Notes
163,Alberta,Magrath,30,MAG17,17/20,1500,77,65,GE,GE 1.5SLE,2004,49,3740101,-112,9408229,
164,Alberta,Magrath,30,MAG18,18/20,1500,77,65,GE,GE 1.5SLE,2004,49,37262362,-112,9386935,
165,Alberta,Magrath,30,MAG19,19/20,1500,77,65,GE,GE 1.5SLE,2004,49,3712537,-112,9365353,
166,Alberta,Magrath,30,MAG20,20/20,1500,77,65,GE,GE 1.5SLE,2004,49,36941634,-112,9342259,
167,Alberta,Optimist Wind Energy,0,9,OWE2,2/2,750,51,5,75,Lagerwey,LW750-52,2004,49,531345,-113,910888,
168,Alberta,Summerview,136,2,SVW2,2/61,1800,80,65,Vestas,V80/1800,2004,49,59754185,-113,8061309,
169,Alberta,Summerview,136,2,SVW3,3/61,1800,80,65,Vestas,V80/1800,2004,49,59526966,-113,8048897,
170,Alberta,Summerview,136,2,SVW4,4/61,1800,80,65,Vestas,V80/1800,2004,49,59303276,-113,8031488,
171,Alberta,Summerview,136,2,SVW5,5/61,1800,80,65,Vestas,V80/1800,2004,49,59057482,-113,8010327,
172,Alberta,Summerview,136,2,SVW6,6/61,1800,80,65,Vestas,V80/1800,2004,49,58822201,-113,7994557,
173,Alberta,Summerview,136,2,SVW7,7/61,1800,80,65,Vestas,V80/1800,2004,49,58606784,-113,7976719,
174,Alberta,Summerview,136,2,SVW8,8/61,1800,80,65,Vestas,V80/1800,2004,49,62485649,-113,8061191,
175,Alberta,Summerview,136,2,SVW9,9/61,1800,80,65,Vestas,V80/1800,2004,49,6228061,-113,8041405,
176,Alberta,Summerview,136,2,SVW10,10/61,1800,80,65,Vestas,V80/1800,2004,49,62070824,-113,802398,
177,Alberta,Summerview,136,2,SVW11,11/61,1800,80,65,Vestas,V80/1800,2004,49,61879773,-113,8007891,
178,Alberta,Summerview,136,2,SVW12,12/61,1800,80,65,Vestas,V80/1800,2004,49,61681791,-113,7995313,
179,Alberta,Summerview,136,2,SVW13,13/61,1800,80,65,Vestas,V80/1800,2004,49,61485905,-113,7978315,
180,Alberta,Summerview,136,2,SVW14,14/61,1800,80,65,Vestas,V80/1800,2004,49,6035056,-113,7895224,
181,Alberta,Summerview,136,2,SVW15,15/61,1800,80,65,Vestas,V80/1800,2004,49,60144182,-113,7877601,
182,Alberta,Summerview,136,2,SVW16,16/61,1800,80,65,Vestas,V80/1800,2004,49,59918256,-113,7850856,
183,Alberta,Summerview,136,2,SVW17,17/61,1800,80,65,Vestas,V80/1800,2004,49,59715371,-113,7830356,
184,Alberta,Summerview,136,2,SVW18,18/61,1800,80,65,Vestas,V80/1800,2004,49,59524469,-113,7805724,
185,Alberta,Summerview,136,2,SVW19,19/61,1800,80,65,Vestas,V80/1800,2004,49,59308283,-113,7784149,
186,Alberta,Summerview,136,2,SVW20,20/61,1800,80,65,Vestas,V80/1800,2004,49,59095828,-113,7761769,
187,Alberta,Summerview,136,2,SVW21,21/61,1800,80,65,Vestas,V80/1800,2004,49,63831756,-113,8057304,
188,Alberta,Summerview,136,2,SVW22,22/61,1800,80,65,Vestas,V80/1800,2004,49,63599309,-113,8040612,
189,Alberta,Summerview,136,2,SVW23,23/61,1800,80,65,Vestas,V80/1800,2004,49,63350212,-113,8023784,
190,Alberta,Summerview,136,2,SVW24,24/61,1800,80,65,Vestas,V80/1800,2004,49,63116513,-113,8007267,
191,Alberta,Summerview,136,2,SVW25,25/61,1800,80,65,Vestas,V80/1800,2004,49,62873341,-113,7991176,
192,Alberta,Summerview,136,2,SVW26,26/61,1800,80,65,Vestas,V80/1800,2004,49,62630958,-113,7973267,
193,Alberta,Summerview,136,2,SVW27,27/61,1800,80,65,Vestas,V80/1800,2004,49,6250865,-113,7924399,
194,Alberta,Summerview,136,2,SVW28,28/61,1800,80,65,Vestas,V80/1800,2004,49,62293766,-113,7903346,
195,Alberta,Summerview,136,2,SVW29,29/61,1800,80,65,Vestas,V80/1800,2004,49,62086189,-113,7881838,
